[7/30/2019 4:08:05 PM] [Debug] [Scene Dump] All Loaded Objects:


[7/30/2019 4:08:05 PM] [Debug] [Scene Dump] EndlessRoundInfo (UnityEngine.GameObject) (4 children). Pos: Local (5500.0, 1000.0, 0.0) / Global (5500.0, 1000.0, 0.0). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]     EndlessRoundInfoCanvas (UnityEngine.GameObject) (2 children). Pos: Local (-78.9, -246.8, 100.4) / Global (5421.1, 753.2, 100.4). Scale: (0.2, 0.2, 0.2)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]         Panel (UnityEngine.GameObject) (3 children). Pos: Local (0.0, 0.0, 0.0) / Global (5421.1, 753.2, 100.4). Scale: (2.0, 2.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             tierName (1) (UnityEngine.GameObject) (0 children). Pos: Local (0.0, -76.0, 0.0) / Global (5421.1, 718.9, 100.4). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             roundNumberLabel (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 30.0, 0.0) / Global (5421.1, 766.7, 100.4). Scale: (2.0, 2.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             ChallengePlaytestLabel (UnityEngine.GameObject) (2 children). Pos: Local (1.0, 90.0, 0.0) / Global (5421.5, 793.8, 100.4). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                 WarningIcon (UnityEngine.GameObject) (0 children). Pos: Local (62.0, 0.0, 0.0) / Global (5449.5, 793.8, 100.4). Scale: (0.6, 0.6, 0.6)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]                 WarningIconRight (UnityEngine.GameObject) (0 children). Pos: Local (-63.1, 0.0, 0.0) / Global (5393.1, 793.8, 100.4). Scale: (0.6, 0.6, 0.6)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]         PlaytestPanel (UnityEngine.GameObject) (3 children). Pos: Local (0.0, 0.0, 0.0) / Global (5421.1, 753.2, 100.4). Scale: (2.0, 2.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             PlaytestTierName (UnityEngine.GameObject) (0 children). Pos: Local (0.0, -76.0, 0.0) / Global (5421.1, 718.9, 100.4). Scale: (1.0, 1.0, 1.0)
[7/30/2019 4:08:05 PM] [Debug] [Scene Dump]             PlaytestRoundNumberLabel (UnityEngine.GameObject) (0 children). Pos: Local (0.0, 9.0, 0.0) / Global (5421.1, 757.2, 100.4). Scale: (2.0, 2.0, 1.0)
